mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__ngram_range,param_tfidf__max_features,param_smote__sampling_strategy,param_smote__k_neighbors,param_select__k,param_nb__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11458315849304199,0.019746073817443748,0.00885162353515625,0.010884777043303899,"(1, 1)",4000,minority,10,1500,1.4,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 10, 'select__k': 1500, 'nb__alpha': 1.4}",0.17499145074262906,,,,0.17456483186688923,,,44
0.8239744663238525,0.09200967218740506,0.023697328567504884,0.0291964877851528,"(1, 3)",5000,all,10,1500,0.1,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 5000, 'smote__sampling_strategy': 'all', 'smote__k_neighbors': 10, 'select__k': 1500, 'nb__alpha': 0.1}",0.4998933017295154,,,,0.4743548655565488,,,44
1.0650783061981202,0.20916760261483056,0.07162265777587891,0.020080924594473287,"(1, 3)",3000,all,7,1500,0.5,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 3000, 'smote__sampling_strategy': 'all', 'smote__k_neighbors': 7, 'select__k': 1500, 'nb__alpha': 0.5}",0.45885535932914173,0.4328088964618529,0.48058243072352536,0.511576511018695,0.3755861623146536,0.45188187196957375,0.04608820941719031,17
1.029544973373413,0.14697986885282302,0.06881980895996094,0.016922690487755115,"(1, 3)",4000,not minority,10,1500,1.9,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 10, 'select__k': 1500, 'nb__alpha': 1.9}",0.4671909231782562,0.492926895897266,0.4304300013854253,0.38491142749493584,0.42161319956675314,0.4394144895045272,0.03742538877341167,24
0.293230676651001,0.04319738761111035,0.02726879119873047,0.011613822801275512,"(1, 1)",5000,auto,7,1000,1.0999999999999999,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 5000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 7, 'select__k': 1000, 'nb__alpha': 1.0999999999999999}",0.5368298058326535,0.44229926176621936,0.5012872866913751,0.47216390700853883,0.38314535247203574,0.46714512275416453,0.052383411162579836,7
0.6668802261352539,0.04190283310312866,0.049280834197998044,0.00312006219855335,"(1, 2)",,not minority,3,all,0.9999999999999999,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': None, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 3, 'select__k': 'all', 'nb__alpha': 0.9999999999999999}",0.4665197464465925,0.4665065354575133,0.4609509017764694,0.4285296693142211,0.45446475633508054,0.4553943218659754,0.014147124033579204,14
0.9885942459106445,0.1482806766010794,0.029462575912475586,0.037628309082205255,"(1, 3)",5000,auto,10,500,2.0,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 5000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 10, 'select__k': 500, 'nb__alpha': 2.0}",0.49481113470950466,,,,0.411959586655659,,,44
0.6433888912200928,0.1229065679587739,0.01387615203857422,0.017070069199689945,"(1, 2)",1000,auto,10,1000,0.6,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 10, 'select__k': 1000, 'nb__alpha': 0.6}",0.42862410476069157,,,,0.3933083362712415,,,44
0.867928409576416,0.073560571213022,0.05277781486511231,0.0028100740283200196,"(1, 3)",1000,auto,7,1500,1.5,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 7, 'select__k': 1500, 'nb__alpha': 1.5}",0.42921261655550735,0.4963167803652939,0.49410546446123627,0.4267692925448208,0.42540839366743355,0.45436250951885837,0.03338235124610011,15
0.6221789360046387,0.11575810555480727,0.0697556495666504,0.02637450906267616,"(1, 2)",,minority,5,all,0.4,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': None, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 5, 'select__k': 'all', 'nb__alpha': 0.4}",0.2275754527251974,0.24623114831967696,0.2622884752404703,0.2726206856136965,0.20524415271921503,0.24279198292365126,0.024178812707797495,39
1.0815958976745605,0.2414206329846888,0.08109107017517089,0.03653324121870485,"(1, 3)",1000,auto,5,500,2.0,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 5, 'select__k': 500, 'nb__alpha': 2.0}",0.5045373019327262,0.4582045955495555,0.5187167901570218,0.40017601390238877,0.46128229415324173,0.46858339913898683,0.041585180230312914,5
0.9665940284729004,0.2371059262761005,0.07422900199890137,0.020162323324498365,"(1, 3)",2000,minority,3,1500,1.3,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 2000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 3, 'select__k': 1500, 'nb__alpha': 1.3}",0.2928564351580848,0.2782277480380086,0.2514764675612556,0.3061195886189324,0.20797989608775144,0.2673320270928065,0.03478149305030287,34
1.0077441215515137,0.07666418670489143,0.06449384689331054,0.009373675632451207,"(1, 3)",2000,all,5,all,0.9999999999999999,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 2000, 'smote__sampling_strategy': 'all', 'smote__k_neighbors': 5, 'select__k': 'all', 'nb__alpha': 0.9999999999999999}",0.5273585903544662,0.484574493434334,0.48364451366362704,0.4670262433695135,0.4193361908605051,0.47638800633648926,0.0348144457364503,2
0.22385673522949218,0.05874834729901751,0.023436212539672853,0.007066689790083705,"(1, 1)",2000,not minority,7,all,1.4,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 2000, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 7, 'select__k': 'all', 'nb__alpha': 1.4}",0.5039520822022786,0.48280495763515185,0.42305868578345285,0.41099592500366877,0.4241949802423618,0.4490013261733828,0.03713504273613251,19
0.231162166595459,0.04226731614592768,0.02372288703918457,0.001863374055529698,"(1, 1)",3000,not minority,10,500,0.7999999999999999,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 3000, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 10, 'select__k': 500, 'nb__alpha': 0.7999999999999999}",0.4672162455351772,0.4322668032300202,0.43795182574057756,0.42521537257641073,0.40192913584434786,0.43291587658530667,0.02107972131670947,26
0.9224987506866456,0.18520427747491386,0.02835545539855957,0.035101720598772,"(1, 3)",4000,minority,10,1000,0.2,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 10, 'select__k': 1000, 'nb__alpha': 0.2}",0.2878747108543849,,,,0.2432281679476193,,,44
0.5333262920379639,0.07786138521798247,0.04985380172729492,0.01493254451300082,"(1, 2)",5000,not minority,7,1500,0.1,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 5000, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 7, 'select__k': 1500, 'nb__alpha': 0.1}",0.44408323779396053,0.45699697081440094,0.3926892837351067,0.40034585885050183,0.40952097705526624,0.4207272656498472,0.025251154526306344,31
0.3616842746734619,0.09974506123984421,0.028246498107910155,0.009619030405887475,"(1, 1)",2000,all,5,500,0.3,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 2000, 'smote__sampling_strategy': 'all', 'smote__k_neighbors': 5, 'select__k': 500, 'nb__alpha': 0.3}",0.508378376482756,0.45504975161303085,0.48965342491723907,0.4968007051646637,0.44696699144953506,0.47936984992544496,0.024052000587660077,1
0.6164663791656494,0.12391818197514656,0.04482026100158691,0.011989793629581259,"(1, 2)",1000,all,5,1500,0.5,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'all', 'smote__k_neighbors': 5, 'select__k': 1500, 'nb__alpha': 0.5}",0.4330684548452616,0.47061141788386174,0.48688693627251844,0.4433699880186459,0.40559726284476905,0.44790681197301135,0.028515984223767346,20
1.123093318939209,0.17422456736822717,0.06131787300109863,0.011220902729701393,"(1, 3)",4000,auto,7,1000,0.5,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 7, 'select__k': 1000, 'nb__alpha': 0.5}",0.4109696702931188,0.4503275411096319,0.4508966136767521,0.47621228221618694,0.5086377833260627,0.45940877812435055,0.03227111922354325,11
0.30782318115234375,0.07502679748389131,0.03525004386901855,0.007849691194833645,"(1, 1)",5000,auto,5,1500,0.6,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 5000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 5, 'select__k': 1500, 'nb__alpha': 0.6}",0.45289913026313267,0.43066711875282554,0.46113592897455613,0.4953084935419395,0.3761693432594306,0.44323600295837684,0.03944931266730677,23
0.23340163230895997,0.04244793091429866,0.022591257095336915,0.002406511625528393,"(1, 1)",1000,auto,3,1000,1.5999999999999999,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 3, 'select__k': 1000, 'nb__alpha': 1.5999999999999999}",0.5258284660066868,0.469918535949183,0.4784820269710019,0.42963230910016903,0.43292351725955214,0.46735697105731855,0.03509432166495293,6
1.1755069255828858,0.17234837872679237,0.057139253616333006,0.014346558254020264,"(1, 3)",2000,all,7,500,1.9,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 2000, 'smote__sampling_strategy': 'all', 'smote__k_neighbors': 7, 'select__k': 500, 'nb__alpha': 1.9}",0.4829177844520539,0.49595041739844203,0.48477502854184495,0.4260830015604264,0.47276251263938296,0.4724977489184301,0.024346397131576124,3
1.1631365299224854,0.17380836983808465,0.054882049560546875,0.004126566569927085,"(1, 3)",2000,not minority,7,500,1.8,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 2000, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 7, 'select__k': 500, 'nb__alpha': 1.8}",0.4434566081905045,0.44201774307964425,0.41488528183509477,0.37628977960468313,0.4053020429345242,0.41639029112889026,0.024990466735398825,32
0.21357545852661133,0.026940125917769012,0.02377429008483887,0.006270364981669814,"(1, 1)",3000,all,3,1500,0.6,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 3000, 'smote__sampling_strategy': 'all', 'smote__k_neighbors': 3, 'select__k': 1500, 'nb__alpha': 0.6}",0.4683681268520232,0.5103935805848786,0.4899935637618568,0.47809066903805386,0.37965152515495404,0.46529949307835333,0.04505969143268646,8
0.8623064517974853,0.07737679100710182,0.050309038162231444,0.00450331024536138,"(1, 3)",3000,minority,3,1500,0.7999999999999999,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 3000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 3, 'select__k': 1500, 'nb__alpha': 0.7999999999999999}",0.20619131152811437,0.26936655984308233,0.25718083264062064,0.2999276093596215,0.2181082959449543,0.25015492186327865,0.03422150243100963,38
0.20312867164611817,0.10464850099838732,0.01547384262084961,0.02179760531944511,"(1, 1)",3000,auto,10,1000,1.7,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 3000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 10, 'select__k': 1000, 'nb__alpha': 1.7}",0.5176201774100438,,,,0.3806735468752302,,,44
1.322905969619751,0.1893605907545965,0.026535940170288087,0.03249996700521693,"(1, 3)",,all,10,all,1.5999999999999999,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': None, 'smote__sampling_strategy': 'all', 'smote__k_neighbors': 10, 'select__k': 'all', 'nb__alpha': 1.5999999999999999}",0.4285619788933811,,,,0.43719725530043485,,,44
0.9850629329681396,0.19130364790485702,0.05735559463500976,0.012919382444927772,"(1, 3)",4000,auto,7,1000,0.3,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 7, 'select__k': 1000, 'nb__alpha': 0.3}",0.41128061556675066,0.4503275411096319,0.4508966136767521,0.47621228221618694,0.5020542767425561,0.4581542658623755,0.03021381517635176,12
0.24613490104675292,0.07175847931619458,0.02610435485839844,0.006251473593688155,"(1, 1)",4000,not minority,7,500,0.1,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 7, 'select__k': 500, 'nb__alpha': 0.1}",0.4463112987440364,0.43275816697812697,0.42659687195961643,0.4335710947807352,0.398648520063732,0.4275771905052494,0.015821284493640952,27
1.0048455715179443,0.10420557242532148,0.057200384140014646,0.012158274232392711,"(1, 3)",1000,not minority,5,1500,1.7,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 5, 'select__k': 1500, 'nb__alpha': 1.7}",0.46769683322364,0.4515376528394969,0.47558265338116695,0.391901128359325,0.4336234425074824,0.44406834206222223,0.02979181809890906,22
1.3848135948181153,0.19212461795124738,0.12515006065368653,0.06444043273321884,"(1, 3)",,not minority,5,1500,0.3,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': None, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 5, 'select__k': 1500, 'nb__alpha': 0.3}",0.4451154168701301,0.4756424454215339,0.4578197168419803,0.3971389596643895,0.39068266030547827,0.4332798398207024,0.03363795392924244,25
0.13943104743957518,0.03063448611956395,0.02049221992492676,0.003982065662397017,"(1, 1)",1000,minority,3,1000,1.9,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 3, 'select__k': 1000, 'nb__alpha': 1.9}",0.2594623692399616,0.2686036644499862,0.22553873383583647,0.26017343834724727,0.2619729237403801,0.25515022592268227,0.015153956053651179,36
0.12302556037902831,0.01719417185963558,0.03218941688537598,0.022754252611825256,"(1, 1)",4000,minority,7,1500,0.2,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 7, 'select__k': 1500, 'nb__alpha': 0.2}",0.18440642942066746,0.21485371913782797,0.2674763982899893,0.2583586822315658,0.19563052971718806,0.2241451517594477,0.033246783413590004,41
0.7315009593963623,0.1278184341854328,0.06441874504089355,0.02423665439442421,"(1, 2)",3000,not minority,5,500,0.2,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 3000, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 5, 'select__k': 500, 'nb__alpha': 0.2}",0.45321152252858854,0.43151071126486207,0.4090842625058073,0.4133991324953066,0.4111004107886901,0.4236612079166509,0.01679527880347293,29
1.2060853004455567,0.35003271502084815,0.05201635360717773,0.001956694800964729,"(1, 3)",1000,all,3,1500,1.5999999999999999,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'all', 'smote__k_neighbors': 3, 'select__k': 1500, 'nb__alpha': 1.5999999999999999}",0.441672637877469,0.4614629557580568,0.5046579067160837,0.4494768072177345,0.4064394089253815,0.45274194329894507,0.031775583838536896,16
0.14234819412231445,0.024109511008301852,0.024100208282470705,0.004585557667421354,"(1, 1)",1000,minority,7,all,0.9999999999999999,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 7, 'select__k': 'all', 'nb__alpha': 0.9999999999999999}",0.19826617206084995,0.25911903485855114,0.23434982406140037,0.30490716299057286,0.2643380658343252,0.2521960519611399,0.03521572721203076,37
0.5365625381469726,0.1452074903651484,0.05262770652770996,0.02151567313043592,"(1, 2)",4000,minority,5,500,0.4,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 5, 'select__k': 500, 'nb__alpha': 0.4}",0.3047604798856763,0.3583242968185218,0.2531649546768,0.348959370043994,0.30472884969456043,0.3139875902239105,0.03757399571970343,33
1.0585004806518554,0.2331647349889923,0.06392745971679688,0.021558275478433857,"(1, 3)",1000,auto,7,1000,0.4,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 7, 'select__k': 1000, 'nb__alpha': 0.4}",0.435797993243496,0.4895049864894989,0.4884288078883826,0.41648683895656924,0.40893234668172324,0.447830194651934,0.03471385333010471,21
0.3164224624633789,0.12994016696866298,0.024516963958740236,0.005524707771407587,"(1, 1)",1000,all,7,1500,0.7999999999999999,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'all', 'smote__k_neighbors': 7, 'select__k': 1500, 'nb__alpha': 0.7999999999999999}",0.5256660332760097,0.48790728119134075,0.4701153080123418,0.47343639397345594,0.3932938486086865,0.4700837730123669,0.043162480585594666,4
0.1309915542602539,0.008874688911925718,0.022936344146728516,0.003937454461732624,"(1, 1)",5000,minority,5,1500,1.3,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 5000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 5, 'select__k': 1500, 'nb__alpha': 1.3}",0.18480627938846714,0.18849564424360984,0.22854993104123567,0.24416088543516684,0.16745853115865583,0.20269425425342708,0.028813656056494365,42
0.14548959732055664,0.04995484766158033,0.031310653686523436,0.0210316174037304,"(1, 1)",,minority,7,all,1.9,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': None, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 7, 'select__k': 'all', 'nb__alpha': 1.9}",0.16223075210211893,0.20844446684041773,0.19894573559834747,0.2429997293398002,0.1451611042477626,0.1915563576256894,0.034637385317929724,43
0.6383506774902343,0.13574957659263068,0.05952177047729492,0.019939267173821374,"(1, 2)",3000,not minority,10,500,0.9999999999999999,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 3000, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 10, 'select__k': 500, 'nb__alpha': 0.9999999999999999}",0.4688523130638213,0.43856009777144445,0.4106417982820726,0.40210555425273564,0.41276441379309214,0.4265848354326332,0.024390023650458705,28
1.1790218353271484,0.22803984238002123,0.060956048965454104,0.006306495273112734,"(1, 3)",3000,auto,7,1500,0.7999999999999999,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 3000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 7, 'select__k': 1500, 'nb__alpha': 0.7999999999999999}",0.4399408856449312,0.43293786862209555,0.4871441514217797,0.5100652953709457,0.3789645406930319,0.4498105483505568,0.045663304350260954,18
0.5395143508911133,0.0374625378605719,0.03976569175720215,0.005242137687432044,"(1, 2)",3000,not minority,7,500,0.9999999999999999,"{'tfidf__ngram_range': (1, 2), 'tfidf__max_features': 3000, 'smote__sampling_strategy': 'not minority', 'smote__k_neighbors': 7, 'select__k': 500, 'nb__alpha': 0.9999999999999999}",0.447894358349484,0.4537882919059911,0.41815228793096626,0.39190844269881875,0.3969599704559181,0.42174067026823564,0.025408608091070494,30
0.8978973865509033,0.07005162088883346,0.04899716377258301,0.011378074814369971,"(1, 3)",4000,minority,7,all,0.8999999999999999,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 7, 'select__k': 'all', 'nb__alpha': 0.8999999999999999}",0.23588903999106278,0.27985161886428456,0.2701319487413463,0.3138045873895395,0.2206521595003515,0.2640658708973169,0.032980634301840776,35
0.24860129356384278,0.05821993045218512,0.02665257453918457,0.01202295859269449,"(1, 1)",4000,auto,5,1000,0.7999999999999999,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 5, 'select__k': 1000, 'nb__alpha': 0.7999999999999999}",0.5066053849832326,0.4187513606855876,0.4964063382166972,0.5023313468389101,0.36088906964842127,0.4569967000745698,0.057911577435285785,13
0.2544879913330078,0.04686602558669236,0.027236270904541015,0.011953378748369502,"(1, 1)",4000,auto,7,all,0.8999999999999999,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 4000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 7, 'select__k': 'all', 'nb__alpha': 0.8999999999999999}",0.47448047622586115,0.4810338983889483,0.4550585472409202,0.49981245798979423,0.4050220027308556,0.46308147651527587,0.032362513919282423,9
0.21944289207458495,0.03166858045688031,0.022013139724731446,0.0034378621998629923,"(1, 1)",1000,auto,5,1500,0.9999999999999999,"{'tfidf__ngram_range': (1, 1), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'auto', 'smote__k_neighbors': 5, 'select__k': 1500, 'nb__alpha': 0.9999999999999999}",0.5349373016547014,0.47506579468205007,0.4781170832838538,0.42370466269559,0.4027043501326544,0.46290583848977,0.04632219677977874,10
0.5875942707061768,0.022090639500383213,0.027937936782836913,0.001536955390147143,"(1, 3)",1000,minority,3,1000,0.3,"{'tfidf__ngram_range': (1, 3), 'tfidf__max_features': 1000, 'smote__sampling_strategy': 'minority', 'smote__k_neighbors': 3, 'select__k': 1000, 'nb__alpha': 0.3}",0.19904113412312546,0.25359741831719784,0.24159762326639542,0.2540998499793945,0.2594448298391565,0.24155617110505395,0.022044816684600264,40
